ver_pos,hour,conditions,abs
2401A01,1,SD30,0.1912153401
2401A01,1,LS30,0.18219141685
2401A01,1,LN30,0.2020206658
2401A01,1,SD37,0.21807199575
2401A01,1,LS37,0.25409197095
2401A01,1,LN37,0.18837664315
2401A02,1,SD30,0.3659602895
2401A02,1,LS30,0.144966469205
2401A02,1,LN30,0.25572759035
2401A02,1,SD37,0.231065739
2401A02,1,LS37,0.2581910784
2401A02,1,LN37,0.22747591055
2401A03,1,SD30,0.225678842
2401A03,1,LS30,0.14024058114
2401A03,1,LN30,0.29864409785
2401A03,1,SD37,0.2297805105
2401A03,1,LS37,0.25441104595
2401A03,1,LN37,0.2415337545
2401A04,1,SD30,0.19004039115
2401A04,1,LS30,0.165891829915
2401A04,1,LN30,0.1772858796
2401A04,1,SD37,0.17827052695
2401A04,1,LS37,0.20884825555
2401A04,1,LN37,0.15473562291
2401A05,1,SD30,0.2391607314
2401A05,1,LS30,0.114054753865
2401A05,1,LN30,0.2816632307
2401A05,1,SD37,0.23680257575
2401A05,1,LS37,0.2884579365
2401A05,1,LN37,0.2149432367
2401A06,1,SD30,0.21098531385
2401A06,1,LS30,0.106927188715
2401A06,1,LN30,0.1988911914
2401A06,1,SD37,0.23579504775
2401A06,1,LS37,0.22109663865
2401A06,1,LN37,0.223163376
2401A07,1,SD30,0.2270965087
2401A07,1,LS30,0.127181368285
2401A07,1,LN30,0.1764542449
2401A07,1,SD37,0.1605225464
2401A07,1,LS37,0.21174112675
2401A07,1,LN37,0.20623399015
2401A08,1,SD30,0.190291963
2401A08,1,LS30,0.13670460325
2401A08,1,LN30,0.1542897294
2401A08,1,SD37,0.14532904055
2401A08,1,LS37,0.19391821336
2401A08,1,LN37,0.18233806755
2401A09,1,SD30,0.1421517857
2401A09,1,LS30,0.118094512195
2401A09,1,LN30,0.12355851645
2401A09,1,SD37,0.134969935
2401A09,1,LS37,0.15420690359
2401A09,1,LN37,0.1648324629
2401A10,1,SD30,0.2064500185
2401A10,1,LS30,0.151358537705
2401A10,1,LN30,0.156395298
2401A10,1,SD37,0.1617257914
2401A10,1,LS37,0.13454330609
2401A10,1,LN37,0.1457561249
2401A06,1,LS37,0.4
