"","ver_pos","hour","conditions","abs"
"1","2401A01",1,"SD30",0.1912153401
"2","2401A01",1,"LS30",0.18219141685
"3","2401A01",1,"LN30",0.2020206658
"4","2401A01",1,"SD37",0.21807199575
"5","2401A01",1,"LS37",0.25409197095
"6","2401A01",1,"LN37",0.18837664315
"7","2401A02",1,"SD30",0.3659602895
"8","2401A02",1,"LS30",0.144966469205
"9","2401A02",1,"LN30",0.25572759035
"10","2401A02",1,"SD37",0.231065739
"11","2401A02",1,"LS37",0.2581910784
"12","2401A02",1,"LN37",0.22747591055
"13","2401A03",1,"SD30",0.225678842
"14","2401A03",1,"LS30",0.14024058114
"15","2401A03",1,"LN30",0.29864409785
"16","2401A03",1,"SD37",0.2297805105
"17","2401A03",1,"LS37",0.25441104595
"18","2401A03",1,"LN37",0.2415337545
"19","2401A04",1,"SD30",0.19004039115
"20","2401A04",1,"LS30",0.165891829915
"21","2401A04",1,"LN30",0.1772858796
"22","2401A04",1,"SD37",0.17827052695
"23","2401A04",1,"LS37",0.20884825555
"24","2401A04",1,"LN37",0.15473562291
"25","2401A05",1,"SD30",0.2391607314
"26","2401A05",1,"LS30",0.114054753865
"27","2401A05",1,"LN30",0.2816632307
"28","2401A05",1,"SD37",0.23680257575
"29","2401A05",1,"LS37",0.2884579365
"30","2401A05",1,"LN37",0.2149432367
"31","2401A06",1,"SD30",0.21098531385
"32","2401A06",1,"LS30",0.106927188715
"33","2401A06",1,"LN30",0.1988911914
"34","2401A06",1,"SD37",0.23579504775
"35","2401A06",1,"LS37",0.22109663865
"36","2401A06",1,"LN37",0.223163376
"37","2401A07",1,"SD30",0.2270965087
"38","2401A07",1,"LS30",0.127181368285
"39","2401A07",1,"LN30",0.1764542449
"40","2401A07",1,"SD37",0.1605225464
"41","2401A07",1,"LS37",0.21174112675
"42","2401A07",1,"LN37",0.20623399015
"43","2401A08",1,"SD30",0.190291963
"44","2401A08",1,"LS30",0.13670460325
"45","2401A08",1,"LN30",0.1542897294
"46","2401A08",1,"SD37",0.14532904055
"47","2401A08",1,"LS37",0.19391821336
"48","2401A08",1,"LN37",0.18233806755
"49","2401A09",1,"SD30",0.1421517857
"50","2401A09",1,"LS30",0.118094512195
"51","2401A09",1,"LN30",0.12355851645
"52","2401A09",1,"SD37",0.134969935
"53","2401A09",1,"LS37",0.15420690359
"54","2401A09",1,"LN37",0.1648324629
"55","2401A10",1,"SD30",0.2064500185
"56","2401A10",1,"LS30",0.151358537705
"57","2401A10",1,"LN30",0.156395298
"58","2401A10",1,"SD37",0.1617257914
"59","2401A10",1,"LS37",0.13454330609
"60","2401A10",1,"LN37",0.1457561249
"61","2401A06",1,"LS37",0.4
